keyword,title,price,likes,views,brand,country,url
Crocs femme,"Sandales d'été Crocs, taille 37",22.0,54,0,Crocs,,https://www.vinted.fr/items/8833251249
Crocs femme,Chaussons pour femmes Crocs,27.0,57,0,Crocs,,https://www.vinted.fr/items/8843428999
Crocs femme,Crocs noir,23.0,32,0,Crocs,,https://www.vinted.fr/items/8809520121
Crocs femme,Clips Jibbitz crocs,7.0,39,0,Crocs,,https://www.vinted.fr/items/8756682427
Crocs femme,Crocs  clásicos rosa pálido. Talla 36-37,29.0,1,0,Crocs,,https://www.vinted.fr/items/8861197939
Crocs femme,Crocs 37-38,35.0,25,0,Crocs,,https://www.vinted.fr/items/8857067564
Crocs femme,Pink crocs,22.0,13,0,Crocs,,https://www.vinted.fr/items/8850554855
Crocs femme,Crocs marron,25.0,0,0,Crocs,,https://www.vinted.fr/items/8861133830
Crocs femme,Crocs Lila,30.0,22,0,Crocs,,https://www.vinted.fr/items/8853648974
Crocs femme,Crocs 38.39,35.0,23,0,Crocs,,https://www.vinted.fr/items/8857117694
Crocs femme,"Crocs à motif floral t38/38,5",15.0,62,0,Crocs,,https://www.vinted.fr/items/8858007686
Crocs femme,Crocs CARS taille 38/39 -> M6/W8,40.0,11,0,Crocs,,https://www.vinted.fr/items/8859696807
Crocs femme,Ballerines crocs marron pointure 40 (w9),8.0,6,0,Crocs,,https://www.vinted.fr/items/8858534957
Crocs femme,Crocs Clog/Sandalen /Hausschuhe Gr. 37 Neu w.,33.0,38,0,Crocs,,https://www.vinted.fr/items/8860047582
Crocs femme,Crocs plateforme,35.0,50,0,Crocs,,https://www.vinted.fr/items/8846396790
Crocs femme,Crocs moumoute noir,15.0,16,0,Crocs,,https://www.vinted.fr/items/8837276684
Crocs femme,Crocs gris pailleté,45.0,13,0,Crocs,,https://www.vinted.fr/items/8859675584
Crocs femme,Pins pour crocs,1.0,26,0,Crocs,,https://www.vinted.fr/items/8810129301
Crocs femme,Crocs beige anti-dérapant,15.0,6,0,Crocs,,https://www.vinted.fr/items/8849581339
Crocs femme,Crocs Iconic Confort,20.0,5,0,Crocs,,https://www.vinted.fr/items/8856715642
Crocs femme,crocs,28.0,11,0,Crocs,,https://www.vinted.fr/items/8854334887
Crocs femme,Crocs,25.0,22,0,Crocs,,https://www.vinted.fr/items/8854498057
Crocs femme,crocs bella clog noire 36-37,35.0,29,0,Crocs,,https://www.vinted.fr/items/8851966820
Crocs femme,Sabots léopard,45.0,40,0,Crocs,,https://www.vinted.fr/items/8856739855
Crocs femme,Crocs Damen Platform Classic Crog~ W7~ 37/38~ Dunkelrot~ Violett,29.0,13,0,Crocs,,https://www.vinted.fr/items/8860889236
Crocs femme,Crocs Mixte pointure 41/42,20.0,6,0,Crocs,,https://www.vinted.fr/items/8860105747
Crocs femme,Crocs vermelhas,15.0,41,0,Crocs,,https://www.vinted.fr/items/8859662771
Crocs femme,Crocs baya neuf,26.0,29,0,Crocs,,https://www.vinted.fr/items/8839234796
Crocs femme,Ballerina Crocs Adrina III Flat tg 40 - W 9 grigio nuove,30.0,18,0,Crocs,,https://www.vinted.fr/items/8860889631
Crocs femme,Cross,25.0,53,0,Crocs,,https://www.vinted.fr/items/8851783545
Crocs femme,Crocs,20.0,18,0,Crocs,,https://www.vinted.fr/items/8859645906
Crocs femme,Crocs Plateau Platform Leopard Leo Print Leopardenmuster W6 36/37,35.0,21,0,Crocs,,https://www.vinted.fr/items/8860030387
Crocs femme,"Crocs Classique Taille 38-39 Jamais porté, Étiquette",33.0,16,0,Crocs,,https://www.vinted.fr/items/8852891865
Crocs femme,Tong Crocs,12.0,6,0,Crocs,,https://www.vinted.fr/items/8854530408
Crocs femme,Crocs compensés,25.0,42,0,Crocs,,https://www.vinted.fr/items/8833514051
Crocs femme,Crocs Iconic Comfort,19.0,3,0,Crocs,,https://www.vinted.fr/items/8860405482
