keyword,title,price,likes,views,brand,country,url
Crocs femme,Crocs Classic Clog noirs – Pointure 38/39 – Neufs – Unisex,29.9,2,0,Crocs,,https://www.vinted.fr/items/8875583153
Crocs femme,Pins crocs,1.5,14,0,Crocs,,https://www.vinted.fr/items/8872623788
Crocs femme,Lot Charms Crocs,3.0,3,0,Crocs,,https://www.vinted.fr/items/8873758232
Crocs femme,Crocs neuve,30.0,14,0,Crocs,,https://www.vinted.fr/items/8869379137
Crocs femme,Sandales crocs 37 38,35.0,1,0,Crocs,,https://www.vinted.fr/items/8874688884
Crocs femme,Crocs bayaband brown,30.0,56,0,Crocs,,https://www.vinted.fr/items/8862921390
Crocs femme,Jibbitz crocs,1.0,13,0,Crocs,,https://www.vinted.fr/items/8850292039
Crocs femme,Accessoires crocs Jul jibbitz charm Marseille,4.0,10,0,Crocs,,https://www.vinted.fr/items/8847151580
Crocs femme,Crocs rose,25.0,4,0,Crocs,,https://www.vinted.fr/items/8873760969
Crocs femme,Crocs noir neuve,40.0,9,0,Crocs,,https://www.vinted.fr/items/8874544042
Crocs femme,Crocs donna,29.5,9,0,Crocs,,https://www.vinted.fr/items/8870956350
Crocs femme,Sabots homme blanc T 44,5.0,4,0,Crocs,,https://www.vinted.fr/items/8873297678
Crocs femme,Sandales Crocs,20.0,20,0,Crocs,,https://www.vinted.fr/items/8874223949
Crocs femme,Crocs Mujer,34.0,0,0,Crocs,,https://www.vinted.fr/items/8874496868
Crocs femme,Pin’s/charms pour crocs pop culture Halloween/horreur,1.0,2,0,,,https://www.vinted.fr/items/8871662542
Crocs femme,Crocs noir,23.0,35,0,Crocs,,https://www.vinted.fr/items/8809520121
Crocs femme,White crocs,15.0,4,0,Crocs,,https://www.vinted.fr/items/8871224805
Crocs femme,Jibbitz crocs Summer,12.0,8,0,Crocs,,https://www.vinted.fr/items/8856661900
Crocs femme,crocs blanc,27.0,25,0,Crocs,,https://www.vinted.fr/items/8862370998
Crocs femme,Pins pour Crocs,9.9,13,0,Accessories,,https://www.vinted.fr/items/8869426673
Crocs femme,Crocs Gr 40,13.0,13,0,Crocs,,https://www.vinted.fr/items/8873356877
Crocs femme,🌸 Pins fleurs et perles pour décorer vos crocs,8.0,94,0,Crocs,,https://www.vinted.fr/items/8866286308
Crocs femme,Crocs,33.0,5,0,Crocs,,https://www.vinted.fr/items/8873943052
Crocs femme,Crocs beige,30.0,42,0,Crocs,,https://www.vinted.fr/items/8860864813
Crocs femme,crocs,28.0,20,0,Crocs,,https://www.vinted.fr/items/8867874979
Crocs femme,Crocs cars taille 38 chaussons flash macqueen rouge 95,37.0,4,0,Crocs,,https://www.vinted.fr/items/8872729599
Crocs femme,"Sandales d'été Crocs, taille 37",22.0,64,0,Crocs,,https://www.vinted.fr/items/8833251249
Crocs femme,Crocs,12.0,30,0,boutique indépendante,,https://www.vinted.fr/items/8852984193
Crocs femme,Original Crocs – Gr. 38 – Top Zustand,13.0,18,0,Crocs,,https://www.vinted.fr/items/8872250841
Crocs femme,Crocs noire neuve 38/39,30.0,48,0,Crocs,,https://www.vinted.fr/items/8859350736
Crocs femme,"Sabots "" Crocs"" blanc Pointure 39 ( M7 W9)",25.9,8,0,Crocs,,https://www.vinted.fr/items/8875379322
Crocs femme,Crocs baya neuve rose,35.0,12,0,Crocs,,https://www.vinted.fr/items/8872600625
Crocs femme,Crocs plateforme noir,18.0,22,0,Crocs,,https://www.vinted.fr/items/8857284124
Crocs femme,Crocs Mega crush Sandal,36.0,68,0,Crocs,,https://www.vinted.fr/items/8864389152
Crocs femme,Crocs baya neuf,26.0,7,0,Crocs,,https://www.vinted.fr/items/8868433423
Crocs femme,Crocs,32.0,2,0,Crocs,,https://www.vinted.fr/items/8872769027
Crocs femme,2 pins crocs jul,6.5,5,0,Crocs,,https://www.vinted.fr/items/8873629970
Crocs femme,Crocs,29.99,45,0,Crocs,,https://www.vinted.fr/items/8855241536
Crocs femme,Crocs compensées femme,40.0,42,0,Crocs,,https://www.vinted.fr/items/8860442533
