keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Stanley Classic Bottle,49.0,5,0,Stanley,,https://www.vinted.fr/items/9145484331,active,False,0,2026-06-11 13:48:24 CEST,17.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley 30oz cup,10.0,12,0,Stanley,,https://www.vinted.fr/items/9144458330,active,False,0,2026-06-11 11:48:30 CEST,19.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley | Classic Wellspring Bottle (nieuw),27.5,15,0,Stanley,,https://www.vinted.fr/items/9142530147,active,False,0,2026-06-11 06:48:32 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Roze Stanley thermosfles (nieuw),30.0,56,0,Stanley,,https://www.vinted.fr/items/9142530906,active,False,0,2026-06-11 06:48:40 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,26.0,34,0,Stanley,,https://www.vinted.fr/items/9142504789,active,False,4,2026-06-11 06:48:46 CEST,24.0,24h,6,📈 Growing
stanley bottle,Colourful Stripe Stanley Tumbler,30.0,15,0,Stanley,,https://www.vinted.fr/items/9141912165,active,False,6,2026-06-11 06:48:48 CEST,24.0,24h,11,🔥 Trending
stanley bottle,Stanley Cup,45.0,75,0,Stanley,,https://www.vinted.fr/items/9142058280,active,False,5,2026-06-11 06:48:57 CEST,24.0,24h,11,🔥 Trending
stanley bottle,"Stanley Quencher H2.0 1,18L Floral Rose Tumbler Avec Paille Gourde Isotherme",49.0,23,0,Stanley,,https://www.vinted.fr/items/9141566209,active,False,0,2026-06-11 06:49:01 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley Aladdin Half Gallon Thermosflasche 1,9 l Vintage 1995 Made in USA Thermoskanne 1990er",39.0,44,0,Stanley,,https://www.vinted.fr/items/9129684793,active,False,4,2026-06-11 06:49:08 CEST,24.0,24h,6,📈 Growing
stanley bottle,Stanley cup,23.0,9,0,Stanley,,https://www.vinted.fr/items/9139567561,active,False,3,2026-06-11 06:49:12 CEST,24.0,24h,6,📈 Growing
stanley bottle,Stanley Barbie,50.0,14,0,Stanley,,https://www.vinted.fr/items/9140526978,active,False,0,2026-06-11 06:49:18 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley cup,48.99,70,0,Stanley,,https://www.vinted.fr/items/9137951936,active,False,5,2026-06-11 06:49:23 CEST,24.0,24h,11,🔥 Trending
stanley bottle,Primark mini Stanley dupe,4.0,0,0,Primark,,https://www.vinted.fr/items/9150776929,active,False,0,2026-06-12 00:49:26 CEST,6.0,24h,3,👀 Early Watchlist
stanley bottle,Primark Stanley dupe,6.0,0,0,Primark,,https://www.vinted.fr/items/9150773443,active,False,0,2026-06-12 00:49:31 CEST,6.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley,25.0,0,0,Stanley,,https://www.vinted.fr/items/9140445092,active,False,0,2026-06-11 06:49:36 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Quencher Evergreen Glow,38.0,1,0,Stanley,,https://www.vinted.fr/items/9137480583,active,False,0,2026-06-11 06:49:36 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,"Stanley Aladdin Thermoskanne 1,9L U.S.A (2 Quart) Vintage – voll funktionsfähig",35.0,13,0,Stanley,,https://www.vinted.fr/items/9135487594,active,False,0,2026-06-11 06:49:43 CEST,24.0,24h,3,👀 Early Watchlist
stanley bottle,Rose Quartz Stanley Tumbler,25.0,12,0,Stanley,,https://www.vinted.fr/items/9132897050,active,False,0,2026-06-10 06:49:48 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Kleine Owala Freesip Kids 16oz 475ml Wasserflasche Tumbler Bottle,25.0,24,0,Owala,,https://www.vinted.fr/items/9144817112,active,False,0,2026-06-11 12:49:48 CEST,18.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Tumbler,48.0,14,0,Stanley,,https://www.vinted.fr/items/9130397030,active,False,0,2026-06-10 06:49:54 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Stanley dupe water bottle,15.0,0,0,,,https://www.vinted.fr/items/9145008858,active,False,0,2026-06-11 12:49:58 CEST,18.0,24h,3,👀 Early Watchlist
stanley bottle,Stanley Tumbler,40.0,4,0,Stanley,,https://www.vinted.fr/items/9130448270,active,False,0,2026-06-10 06:50:01 CEST,48.0,72h,2,📊 Monitoring
stanley bottle,Stanley Tumbler,68.0,3,0,Stanley,,https://www.vinted.fr/items/9130429223,active,False,0,2026-06-10 06:50:06 CEST,48.0,72h,2,📊 Monitoring
