keyword,title,price,likes,views,brand,country,url,status,offers,published_at,age_hours,score,verdict
Crocs femme,Crocs,20.0,25,0,Crocs,,https://www.vinted.fr/items/8866942729,active,0,,24.0,2,➖ Moderate
Crocs femme,Crocs beige anti-dérapant,15.0,11,0,Crocs,,https://www.vinted.fr/items/8849581339,active,0,2026-05-07 17:22:41 CEST,72.0,0,⚠️ Low
Crocs femme,"Women's black sandals, size 36",22.0,38,0,Crocs,,https://www.vinted.fr/items/8866943799,active,3,2026-05-09 17:22:44 CEST,24.0,11,🔥 Trending
Crocs femme,Crocs beige,40.0,15,0,Crocs,,https://www.vinted.fr/items/8859263379,active,4,2026-05-09 17:22:47 CEST,24.0,9,🔥 Trending
Crocs femme,CROCS - classic mary jane clog crocs,40.0,35,0,Crocs,,https://www.vinted.fr/items/8873133461,active,0,2026-05-10 14:22:54 CEST,3.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs,30.0,3,0,Crocs,,https://www.vinted.fr/items/8691268125,active,0,2026-04-19 17:22:58 CEST,504.0,0,⚠️ Low
Crocs femme,Crocs noir,40.0,36,0,Crocs,,https://www.vinted.fr/items/8859292601,active,6,2026-05-09 17:23:03 CEST,24.0,16,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs teenslippers,10.0,11,0,Crocs,,https://www.vinted.fr/items/8871732194,active,3,2026-05-10 12:23:05 CEST,5.0,17,🔥🔥🔥 Very Strong Demand
Crocs femme,Tonton daoud pins crocs,1.5,8,0,,,https://www.vinted.fr/items/8853985879,active,0,2026-05-08 17:23:08 CEST,48.0,0,⚠️ Low
Crocs femme,Crocs Tulum Sandal,24.0,1,0,Crocs,,https://www.vinted.fr/items/8874800696,active,0,2026-05-09 17:23:14 CEST,24.0,0,⚠️ Low
Crocs femme,Crocs,25.0,21,0,Crocs,,https://www.vinted.fr/items/8855465222,active,0,2026-05-08 17:23:17 CEST,48.0,1,⚠️ Low
Crocs femme,crocs bleu,25.0,37,0,Crocs,,https://www.vinted.fr/items/8763985684,active,0,2026-05-09 17:23:20 CEST,24.0,4,➖ Moderate
Crocs femme,Crocs - tongs à plate-forme - pointure 38,25.0,24,0,Crocs,,https://www.vinted.fr/items/8856841469,active,0,2026-05-08 17:23:26 CEST,48.0,1,⚠️ Low
Crocs femme,Crocs Sandalen metallic Schnalle 39-40,39.0,12,0,Crocs,,https://www.vinted.fr/items/8872757859,active,0,2026-05-10 13:23:28 CEST,4.0,7,📈 Growing
Crocs femme,Sandalen,13.0,49,0,Crocs,,https://www.vinted.fr/items/8873565461,active,8,2026-05-10 15:23:31 CEST,2.0,20,🔥🔥🔥 Very Strong Demand
Crocs femme,Crocs avec pins,18.5,7,0,Crocs,,https://www.vinted.fr/items/8866260078,active,0,2026-05-09 17:23:36 CEST,24.0,1,⚠️ Low
Crocs femme,Zwarte crocs,25.0,3,0,Crocs,,https://www.vinted.fr/items/8872493984,active,0,,24.0,0,⚠️ Low
Crocs femme,Crocs,40.0,35,0,Crocs,,https://www.vinted.fr/items/8863582933,active,9,2026-05-09 17:23:43 CEST,24.0,17,🔥🔥🔥 Very Strong Demand
Crocs femme,crocs rose,15.0,24,0,Crocs,,https://www.vinted.fr/items/8848810726,active,4,2026-05-07 17:23:49 CEST,72.0,7,📈 Growing
Crocs femme,Sandales CROCS Nude 40,25.0,4,0,Crocs,,https://www.vinted.fr/items/8873519177,active,0,2026-05-10 14:23:53 CEST,3.0,3,➖ Moderate
Crocs femme,Crocs,15.0,26,0,Crocs,,https://www.vinted.fr/items/8826820854,active,0,2026-05-05 17:23:55 CEST,120.0,1,⚠️ Low
Crocs femme,Chausseure femme CROCS taille 37,11.0,29,0,Crocs,,https://www.vinted.fr/items/8650948375,active,0,2026-04-19 17:23:58 CEST,504.0,0,⚠️ Low
Crocs femme,Crocs,30.0,85,0,Crocs,,https://www.vinted.fr/items/8842112468,active,5,2026-05-07 17:24:05 CEST,72.0,13,🔥🔥 Strong Demand
Crocs femme,Crocs,27.0,50,0,Crocs,,https://www.vinted.fr/items/8771065958,active,3,2026-05-09 17:24:07 CEST,24.0,12,🔥🔥 Strong Demand
Crocs femme,Crocs ballerines original kaki 39,15.0,24,0,Crocs,,https://www.vinted.fr/items/8839817789,active,0,2026-05-06 17:24:09 CEST,96.0,1,⚠️ Low
Crocs femme,Crocs,15.0,223,0,Crocs,,https://www.vinted.fr/items/7951756369,active,0,2026-02-09 17:24:18 CET,2160.0,0,⚠️ Low
Crocs femme,Crocs looney tunes,30.0,0,0,Crocs,,https://www.vinted.fr/items/8875223650,active,0,2026-05-09 17:24:19 CEST,24.0,0,⚠️ Low
Crocs femme,Zapatillas croc,24.5,33,0,Crocs,,https://www.vinted.fr/items/8866436619,active,8,2026-05-09 17:24:24 CEST,24.0,16,🔥🔥🔥 Very Strong Demand
Crocs femme,Jibbitz Mario kart,10.0,32,0,Crocs,,https://www.vinted.fr/items/8741945260,active,0,2026-04-26 17:24:29 CEST,336.0,0,⚠️ Low
Crocs femme,Croc flip flops,7.0,0,0,Crocs,,https://www.vinted.fr/items/8874566107,active,0,2026-05-09 17:24:34 CEST,24.0,0,⚠️ Low
Crocs femme,Lot de 10 pins pour crocs,20.0,12,0,Crocs,,https://www.vinted.fr/items/8860740990,active,0,2026-05-09 17:24:39 CEST,24.0,1,⚠️ Low
